table,capability,cols,fk_out,fk_in,policies,triggers,create_migration,code_usage,real_refs,db_comment,decision,owner
student_indicator_progress,académico,10,3,0,1,0,"20260629_acm_curriculum_governance.sql","referenciada: modules/academic-routes/services/academicService.js, modules/bitacora/api/bitacoraSupabase.js",3,"",,
tarea_logs,operaciones/reportes,6,2,0,2,0,"","solo autogen",0,"",,
tareas_caja,finanzas,15,3,0,4,0,"","solo autogen",0,"",,
tareas_calendario,académico/operaciones,12,3,1,3,0,"","solo autogen",0,"",,
tareas_portales,operaciones/reportes,26,0,0,1,0,"","solo autogen",0,"",,
teacher_class_sessions,académico,11,4,3,1,0,"20260629_acm_curriculum_governance.sql","solo autogen",0,"",,
teacher_session_indicators,académico,9,2,0,1,0,"20260629_acm_curriculum_governance.sql","solo autogen",0,"",,
telegram_messages_raw,gateway/hermes,7,0,0,3,0,"20260630_003_create_telegram_messages_raw.sql","referenciada: supabase/functions/telegram-classifier-cron/index.ts, supabase/functions/telegram-webhook/index.ts",2,"",,
usuario_departamentos,operaciones/reportes,5,2,0,2,0,"","solo autogen",0,"",,
wallet_config,finanzas,8,1,0,1,0,"","solo autogen",0,"",,
wallet_movimientos,finanzas,9,1,0,2,0,"","referenciada: portales/fin/src/context/FinanceContext.tsx",1,"",,
whatsapp_consentimientos,gateway/hermes,11,1,0,1,0,"20260626_gateway_subsistema4_numero_consentimiento.sql","solo autogen",0,"",,
whatsapp_optout,gateway/hermes,3,0,0,1,0,"20260626_whatsapp_antiban_layer.sql","referenciada: supabase/functions/event-spine-logger/handlers/r6-whatsapp-padres.ts, supabase/functions/event-spine-logger/handlers/r7-whatsapp-maestros.ts",2,"",,
xp_log,protección/seguimiento,7,1,0,2,0,"schema_reference.sql (sin fecha)","solo autogen",0,"",,
